,first_login_dt,week_year,user_id,habito,habito_dt,activacion,activacion_dt,setup,setup_dt,return,return_dt
0,2022-01-30,4,MLB2883855850,0.0,,1,2022-01-30,1,2022-01-30,0,
1,2022-01-30,4,MLB7059024930,0.0,,1,2022-03-02,0,,0,
2,2022-01-07,1,MLB4163269880,0.0,,0,,0,,1,2022-01-08
3,2022-01-07,1,MLB7349806870,0.0,,0,,0,,1,2022-01-08
4,2022-01-07,1,MLB7239064190,0.0,,1,2022-01-07,0,,1,2022-01-08
5,2022-01-01,52,MLB10318536730,0.0,,0,,0,,0,
6,2022-01-01,52,MLB7546352300,0.0,,0,,1,2022-01-01,1,2022-01-03
7,2022-01-16,2,MLB2785023500,0.0,,1,2022-01-16,0,,1,2022-01-17
8,2022-01-16,2,MLB8395954300,0.0,,0,,1,2022-01-16,0,
9,2022-01-16,2,MLB1610695500,0.0,,1,2022-01-16,0,,0,
10,2022-01-16,2,MLB3148290290,0.0,,0,,0,,1,2022-01-19
11,2022-01-16,2,MLB1633460060,0.0,,1,2022-01-16,0,,1,2022-01-17
12,2022-01-09,1,MLB2454737160,0.0,,0,,0,,0,
13,2022-01-09,1,MLB10169329180,0.0,,0,,0,,0,
14,2022-01-23,3,MLB5099648840,0.0,,1,2022-02-08,0,,1,2022-02-08
15,2022-01-23,3,MLB10617344660,0.0,,1,2022-01-23,1,2022-01-23,1,2022-01-26
16,2022-01-23,3,MLB10617979960,1.0,2022-02-03,1,2022-01-26,1,2022-01-23,1,2022-01-25
17,2022-01-02,52,MLB2165710930,1.0,2022-01-08,1,2022-01-03,1,2022-01-03,1,2022-01-03
18,2022-01-02,52,MLB10492545680,1.0,2022-01-19,1,2022-01-06,1,2022-01-02,1,2022-01-03
19,2022-01-02,52,MLB4383395900,0.0,,0,,0,,0,
20,2022-01-02,52,MLB2729735530,0.0,,0,,1,2022-01-06,1,2022-01-06
21,2022-01-02,52,MLB7594363930,0.0,,0,,0,,1,2022-01-05
22,2022-01-24,4,MLB4831026680,0.0,,0,,0,,0,
23,2022-01-24,4,MLB3439721590,1.0,2022-02-23,1,2022-02-09,1,2022-02-03,1,2022-02-03
24,2022-01-24,4,MLB2895173920,0.0,,0,,0,,1,2022-01-25
25,2022-01-15,2,MLB10576474600,1.0,2022-01-15,1,2022-01-15,1,2022-01-15,1,2022-01-16
26,2022-01-15,2,MLB10572750810,1.0,2022-01-15,1,2022-01-15,1,2022-01-16,1,2022-01-16
27,2022-01-15,2,MLB10573174080,1.0,2022-02-01,1,2022-01-18,0,,1,2022-01-16
28,2022-01-15,2,MLB4601282100,0.0,,1,2022-01-15,0,,0,
29,2022-01-15,2,MLB5724422830,0.0,,1,2022-01-15,0,,1,2022-01-16
30,2022-01-15,2,MLB722272670,0.0,,1,2022-01-12,0,,0,
31,2022-01-28,4,MLB5498860460,0.0,,0,,0,,0,
32,2022-01-28,4,MLB10197539290,0.0,,1,2022-01-28,0,,1,2022-01-29
33,2022-01-28,4,MLB1036816120,1.0,2022-02-24,1,2022-01-28,1,2022-01-28,1,2022-01-29
34,2022-01-28,4,MLB10512121560,0.0,,0,,1,2022-01-28,1,2022-01-31
35,2022-01-28,4,MLB8060732310,1.0,2022-02-04,1,2022-01-28,1,2022-01-29,1,2022-01-29
36,2022-01-04,1,MLB4818127630,1.0,2022-01-10,1,2022-01-04,1,2022-01-17,1,2022-01-05
37,2022-01-04,1,MLB10345171530,0.0,,0,,0,,0,
38,2022-01-05,1,MLB10516756700,0.0,,0,,1,2022-01-05,0,
39,2022-01-05,1,MLB1060796080,0.0,,0,,0,,0,
40,2022-01-22,3,MLB6131077900,0.0,,1,2022-01-22,1,2022-01-22,1,2022-01-23
41,2022-01-22,3,MLB3860151130,0.0,,0,,0,,1,2022-01-24
42,2022-01-12,2,MLB10558031330,1.0,2022-01-19,1,2022-01-12,1,2022-01-12,1,2022-01-13
43,2022-01-12,2,MLB10555625040,0.0,,1,2022-01-12,1,2022-01-12,1,2022-01-13
44,2022-01-12,2,MLB10554463420,0.0,,0,,0,,0,
45,2022-01-12,2,MLB3144375440,0.0,,0,,0,,1,2022-01-27
46,2022-01-12,2,MLB1136525890,0.0,,0,,0,,0,
47,2022-01-12,2,MLB980528780,0.0,,1,2022-01-11,0,,0,
48,2022-01-12,2,MLB200194560,0.0,,0,,1,2022-01-12,1,2022-01-21
49,2022-01-08,1,MLB10532282460,0.0,,0,,0,,1,2022-01-29
50,2022-01-08,1,MLB3191202910,0.0,,1,2022-02-03,1,2022-01-09,1,2022-01-09
51,2022-01-08,1,MLB2304077130,0.0,,0,,1,2022-01-08,0,
52,2022-01-08,1,MLB10266495980,0.0,,0,,1,2022-01-21,1,2022-01-10
53,2022-01-25,4,MLB10628872940,0.0,,0,,1,2022-01-25,0,
54,2022-01-06,1,MLB3526663050,0.0,,0,,0,,1,2022-01-24
55,2022-01-06,1,MLB10512657790,0.0,,0,,1,2022-01-06,0,
56,2022-01-06,1,MLB7217851370,0.0,,1,2022-01-20,1,2022-01-20,1,2022-01-09
57,2022-01-06,1,MLB10525553520,1.0,2022-01-11,1,2022-01-07,1,2022-01-06,1,2022-01-07
58,2022-01-06,1,MLB10309846480,1.0,2022-01-25,1,2022-01-10,0,,1,2022-01-07
59,2022-01-06,1,MLB1074974930,0.0,,1,2022-01-08,0,,1,2022-01-08
60,2022-01-06,1,MLB2409949700,0.0,,1,2022-01-11,0,,1,2022-01-07
61,2022-01-18,3,MLB10589300770,1.0,2022-02-13,1,2022-02-05,1,2022-02-03,1,2022-01-20
62,2022-01-18,3,MLB5456645760,0.0,,0,,0,,0,
63,2022-01-18,3,MLB911205920,0.0,,0,,0,,1,2022-01-19
64,2022-01-18,3,MLB10538757820,0.0,,0,,0,,0,
65,2022-01-18,3,MLB2914318570,0.0,,0,,0,,0,
66,2022-01-18,3,MLB2031493120,0.0,,1,2022-01-24,1,2022-01-18,1,2022-01-20
