ID_Usuario;Tipo de Usuario;a–o de nacimiento
101;Anual;1990
102;Ocasional;1995
103;Anual;1985
104;Turista;2001
105;Anual;1992
106;Anual;1988
107;Ocasional;2000
108;Turista;1998
109;Anual;1979
110;Ocasional;1993
111;Anual;2002
112;Turista;1991
113;Anual;1986
114;Ocasional;1999
115;Anual;1994
116;Anual;1996
117;Turista;2003
118;Ocasional;1989
119;Anual;1997
120;Anual;1981
121;Ocasional;1990
122;Turista;1984
123;Anual;2000
124;Anual;1993
125;Ocasional;1987
126;Turista;1999
127;Anual;1991
128;Ocasional;1998
129;Anual;1980
130;Turista;2004
